prefix4,алек
+3_1dom_postfix3,
+3_1dom_postfix2,
+3_1dom_postfix1,
+3_1dom_posStart,
+3_1dom_pos,
+3_1dom_link,
+3_1dom_len,
+3_1dom_lemma,
+3_1dom_isupper,0
+3_1dom_istitle,0
+3_1dom_islower,0
+3_1dom_isdigit,0
+3_1dom_isalpha,0
+3_1dom_isalnum,0
+3_1dom_isLastWord,0
+3_1dom_isFirstWord,0
+3_1dom_grm,
+3_1dom_forma,
+3_1dom_dom,
+3_1dom_ID,
+2_prefix4,.
+2_prefix3,.
+2_prefix2,.
+2_prefix1,.
+2_postfix4,.
+2_postfix3,.
+2_postfix2,.
+2_postfix1,.
+2_posStart,20.0
+2_pos,MAD
+2_link,атриб
+2_len,1.0
+2_lemma,.
+2_isupper,0
+2_istitle,0
+2_islower,0
+2_isdigit,0
+2_isalpha,0
+2_isalnum,0
+2_isLastWord,1
+2_isFirstWord,0
+2_grm,
+2_forma,.
+2_dom,0.0
+2_ID,3.0
+2_2dom_prefix4,
+2_2dom_prefix3,
+2_2dom_prefix2,
+2_2dom_prefix1,
+2_2dom_postfix4,
+2_2dom_postfix3,
+2_2dom_postfix2,
+2_2dom_postfix1,
+2_2dom_posStart,
+2_2dom_pos,
+2_2dom_link,
+2_2dom_len,
+2_2dom_lemma,
+2_2dom_isupper,0
+2_2dom_istitle,0
+2_2dom_islower,0
+2_2dom_isdigit,0
+2_2dom_isalpha,0
+2_2dom_isalnum,0
+2_2dom_isLastWord,0
+2_2dom_isFirstWord,0
+2_2dom_grm,
+2_2dom_forma,
+2_2dom_dom,
+2_2dom_ID,
+2_1dom_prefix4,
+2_1dom_prefix3,
+2_1dom_prefix2,
+2_1dom_prefix1,
+2_1dom_postfix4,
+2_1dom_postfix3,
+2_1dom_postfix2,
+2_1dom_postfix1,
+2_1dom_posStart,
+2_1dom_pos,
+2_1dom_link,
+2_1dom_len,
+2_1dom_lemma,
+2_1dom_isupper,0
+2_1dom_istitle,0
+2_1dom_islower,0
+2_1dom_isdigit,0
+2_1dom_isalpha,0
+2_1dom_isalnum,0
+2_1dom_isLastWord,0
+2_1dom_isFirstWord,0
+2_1dom_grm,
+2_1dom_forma,
+2_1dom_dom,
+2_1dom_ID,
+1_prefix4,верт
+1_prefix3,вер
+1_prefix2,ве
+1_prefix1,в
+1_postfix4,ский
+1_postfix3,кий
+1_postfix2,ий
+1_postfix1,й
+1_posStart,10.0
+1_pos,S
+1_link,аппоз
+1_len,10.0
+1_lemma,ВЕРТИНСКИЙ
+1_isupper,0
+1_istitle,1
+1_islower,0
+1_isdigit,0
+1_isalpha,1
+1_isalnum,1
+1_isLastWord,0
+1_isFirstWord,0
+1_grm,МУЖ ИМ ОД ЕД
+1_forma,вертинский
+1_dom,0.0
+1_ID,2.0
+1_2dom_prefix4,
+1_2dom_prefix3,
+1_2dom_prefix2,
+1_2dom_prefix1,
+1_2dom_postfix4,
+1_2dom_postfix3,
+1_2dom_postfix2,
+1_2dom_postfix1,
+1_2dom_posStart,
+1_2dom_pos,
+1_2dom_link,
+1_2dom_len,
+1_2dom_lemma,
+1_2dom_isupper,0
+1_2dom_istitle,0
+1_2dom_islower,0
+1_2dom_isdigit,0
+1_2dom_isalpha,0
+1_2dom_isalnum,0
+1_2dom_isLastWord,0
+1_2dom_isFirstWord,0
+1_2dom_grm,
+1_2dom_forma,
+1_2dom_dom,
+1_2dom_ID,
+1_1dom_prefix4,
+1_1dom_prefix3,
+1_1dom_prefix2,
+1_1dom_prefix1,
+1_1dom_postfix4,
+1_1dom_postfix3,
+1_1dom_postfix2,
+1_1dom_postfix1,
+1_1dom_posStart,
+1_1dom_pos,
+1_1dom_link,
+1_1dom_len,
+1_1dom_lemma,
+1_1dom_isupper,0
+1_1dom_istitle,0
+1_1dom_islower,0
+1_1dom_isdigit,0
+1_1dom_isalpha,0
+1_1dom_isalnum,0
+1_1dom_isLastWord,0
+1_1dom_isFirstWord,0
+1_1dom_grm,
+1_1dom_forma,
+1_1dom_dom,
+1_1dom_ID,
